SALE_ID,BOOK_ID,CLIENT_ID,SALE_DATE,QUANTITY,TOTAL_PRICE
1,6,883,2023-10-01,4,332.00
2,16,427,2022-12-24,1,401.00
3,141,249,2023-10-01,3,305.00
4,129,56,2022-12-28,1,215.00
5,5,718,2024-03-07,2,427.00
6,54,722,2022-12-23,5,104.00
7,98,287,2023-01-20,4,52.00
8,144,981,2023-10-31,2,120.00
9,5,314,2024-06-22,1,155.00
10,14,198,2023-02-19,4,391.00
11,133,30,2024-05-05,1,452.00
12,34,566,2023-06-12,1,19.00
13,15,774,2023-11-11,1,353.00
14,3,509,2023-03-06,2,452.00
15,33,955,2024-08-07,4,48.00
16,167,518,2023-11-26,3,306.00
17,157,824,2023-11-09,5,54.00
18,134,461,2023-08-31,1,438.00
19,121,806,2024-08-20,4,484.00
20,65,113,2024-05-09,4,477.00
21,5,625,2024-03-24,1,239.00
22,192,881,2023-10-07,3,158.00
23,45,440,2022-11-24,2,213.00
24,34,466,2024-02-04,3,282.00
25,99,778,2023-06-17,1,489.00
26,49,223,2023-08-30,1,102.00
27,196,826,2024-08-28,3,364.00
28,70,555,2024-08-18,2,440.00
29,160,588,2023-10-14,2,323.00
30,175,419,2024-07-03,2,52.00
31,72,63,2023-12-11,4,207.00
32,145,460,2024-08-24,2,171.00
33,190,96,2023-03-04,3,103.00
34,32,791,2024-04-19,1,148.00
35,168,340,2024-10-07,5,430.00
36,72,814,2023-04-29,3,276.00
37,82,674,2022-12-19,2,421.00
38,160,84,2024-04-10,2,420.00
39,11,296,2022-11-09,2,377.00
40,78,527,2024-05-18,4,89.00
41,48,893,2023-04-02,3,445.00
42,78,924,2022-12-03,1,53.00
43,119,29,2024-03-05,1,146.00
44,111,348,2023-11-11,3,207.00
45,95,711,2023-01-12,4,451.00
46,5,671,2024-01-03,4,56.00
47,158,449,2024-10-04,1,463.00
48,125,277,2022-10-31,4,367.00
49,17,748,2024-09-23,3,286.00
50,69,748,2022-11-10,4,390.00
51,132,86,2024-04-21,5,404.00
